defName,中文名,英文标题,简称,阶段,来源,强制/倾向特质,禁用特质,技能加成,关联经历
MobHenchman53,mob henchman,mob henchman,henchman,成年,原版Core,,,Shooting3、Melee7、Social-2、Medicine2、Crafting2,
Model99,model,model,model,成年,原版Core,,,Social5、Artistic6,
MuffaloResearcher67,muffalo researcher,muffalo researcher,researcher,成年,原版Core,,,Intellectual5、Melee-3、Medicine4、Animals4,
MuffaloShaman95,muffalo shaman,muffalo shaman,shaman,成年,原版Core,,,Melee5、Social2,
MutinousCaptain52,mutinous captain,mutinous captain,captain,成年,原版Core,,,Shooting4、Social8,
NavyScientist52,navy scientist,navy scientist,scientist,成年,原版Core,,,Intellectual8,
NavyTechOfficer0,navy tech officer,navy tech officer,navy tech,成年,原版Core,,,Intellectual6、Shooting4、Cooking-2、Crafting5、Animals-2,
NetworkEngineer34,network engineer,network engineer,engineer,成年,原版Core,,,Construction4、Intellectual4、Shooting4、Crafting4,
NeuroScientist19,neuro scientist,neuro scientist,scientist,成年,原版Core,,,Intellectual8、Social2、Medicine3,
NinjaAssassin31,ninja assassin,ninja assassin,ninja,成年,原版Core,,,Shooting4、Melee3、Social2、Crafting2,
Novelist7,novelist,novelist,novelist,成年,原版Core,,,Construction-5、Mining-5、Artistic8,
Nurse61,nurse,nurse,nurse,成年,原版Core,,,Social4、Medicine5,
OrbitalReservist22,orbital reservist,orbital reservist,reservist,成年,原版Core,,,Shooting7、Melee5、Medicine2,
OskarCustomAdulthood,mod designer,mod designer,modder,成年,原版Core,,,Intellectual5、Crafting5、Medicine2,
Osteologist74,osteologist,osteologist,scholar,成年,原版Core,,,Intellectual7、Mining-3、Melee3、Social3,
OverwatchSniper42,overwatch sniper,overwatch sniper,sniper,成年,原版Core,,,Shooting5、Melee3、Medicine3,
Paramedic45,paramedic,paramedic,paramedic,成年,原版Core,,,Shooting-5、Medicine6,
ParamilitaryAgent11,paramilitary agent,paramilitary agent,agent,成年,原版Core,,,Shooting5、Melee2、Social3,
ParticlePhysicist44,particle physicist,particle physicist,physicist,成年,原版Core,,,Plants2、Intellectual8、Medicine3、Artistic3,
Philosopher97,philosopher,philosopher,sage,成年,原版Core,,,Intellectual4、Social2、Medicine3、Crafting2,
Pirate56,pirate,pirate,pirate,成年,原版Core,,,Shooting4、Melee2、Social8,
PirateCaptain69,pirate captain,pirate captain,captain,成年,原版Core,,,Shooting5、Melee5、Social6,
PirateDoctor0,pirate doctor,pirate doctor,bad doc,成年,原版Core,,,Intellectual3、Mining-3、Social-2、Medicine4、Artistic-3,
PirateKing69,pirate king,pirate king,pirate,成年,原版Core,,,Shooting7、Melee5、Artistic-2,
PirateSympathizer24,pirate sympathizer,pirate sympathizer,pirate,成年,原版Core,,,Shooting4、Melee8,
PirateTrooper73,pirate trooper,pirate trooper,trooper,成年,原版Core,,,Shooting6、Melee5,
PitBrawler76,pit brawler,pit brawler,brawler,成年,原版Core,,,Melee8,
PlagueDoctor31,plague doctor,plague doctor,doctor,成年,原版Core,,,Intellectual4、Social-2、Medicine8,
PlanetaryDiplomat7,planetary diplomat,planetary diplomat,diplomat,成年,原版Core,,,Construction-2、Intellectual3、Social8、Artistic2,
PlankCutter72,plank cutter,plank cutter,plank cutter,成年,原版Core,,,Plants6、Melee3,
PoisonGardener29,poison gardener,poison gardener,botanist,成年,原版Core,,,Plants4、Intellectual1、Cooking2、Medicine2,
Policeman45,policeman,policeman,policeman,成年,原版Core,,,Social3、Shooting4、Melee3,
PoliticalActivist20,political activist,political activist,activist,成年,原版Core,,,Intellectual2、Shooting5、Melee3、Medicine2,
PoliticalAssassin46,political assassin,political assassin,deathjack,成年,原版Core,,,Shooting8、Melee8,
Politician57,politician,politician,politician,成年,原版Core,,,Shooting2、Melee2、Social5,
PopIdol59,pop idol,pop idol,pop idol,成年,原版Core,,,Shooting-4、Melee-4、Social8、Artistic8,
PopIdolPirate39,pop idol pirate,pop idol pirate,pirate,成年,原版Core,,,Plants-2、Shooting5、Melee7、Social4、Cooking-2,
PrisonerOfWar2,prisoner of war,prisoner of war,prisoner,成年,原版Core,,,Shooting4、Melee4、Social4,
PrivateDetective66,private detective,private detective,detective,成年,原版Core,,,Intellectual4、Social7,
ProstheticSurgeon0,prosthetic surgeon,prosthetic surgeon,surgeon,成年,原版Core,,,Plants-2、Intellectual4、Medicine6、Crafting4,
ProstituteIdol28,prostitute idol,prostitute idol,prostitute,成年,原版Core,,,Social7、Cooking3、Artistic3,
PsychiatricPatient94,psychiatric patient,psychiatric patient,patient,成年,原版Core,,,Cooking-2、Crafting-2,
QuarryWorker29,quarry worker,quarry worker,quarry worker,成年,原版Core,,,Mining8,
RaiderKing38,raider king,raider king,Pirate,成年,原版Core,,,Mining3、Shooting5、Melee5,
Rancher43,rancher,rancher,rancher,成年,原版Core,,,Animals8、Cooking-4、Mining-4,
Ranger6,ranger,ranger,ranger,成年,原版Core,,,Construction2、Plants2、Shooting4、Cooking2、Medicine2,
Ranger96,ranger,ranger,ranger,成年,原版Core,,,Plants6、Shooting2,
RebelFighter39,rebel fighter,rebel fighter,rebel,成年,原版Core,,,Shooting4、Melee2,
Recruiter14,recruiter,recruiter,recruiter,成年,原版Core,,,Melee5、Social5,
ReligiousHierarch16,religious hierarch,religious hierarch,hierarch,成年,原版Core,,,Construction-3、Mining-3、Shooting-2、Melee-2、Social8、Cooking4、Medicine5,
RenegadeEngineer43,renegade engineer,renegade engineer,engineer,成年,原版Core,,,Intellectual3、Shooting3、Melee3、Medicine3,
RenownedProfessor51,renowned professor,renowned professor,professor,成年,原版Core,,,Intellectual5、Social6,
Reporter71,reporter,reporter,reporter,成年,原版Core,,,Intellectual2、Social4、Artistic3,
ReptileResearcher37,reptile researcher,reptile researcher,researcher,成年,原版Core,,,Intellectual7、Cooking2、Medicine3、Artistic3、Crafting2,
Restorer70,restorer,restorer,restorer,成年,原版Core,,,Construction5、Crafting9、Social-2,
RimworldExile32,Rimworld exile,Rimworld exile,Exile,成年,原版Core,,,Intellectual6、Shooting-2、Social5、Cooking2,
Roboticist1,roboticist,roboticist,roboticist,成年,原版Core,,,Construction3、Intellectual7、Crafting3,
Roboticist41,roboticist,roboticist,roboticist,成年,原版Core,,,Construction3、Intellectual4、Crafting6,
RocketEngineer53,rocket engineer,rocket engineer,engineer,成年,原版Core,,,Construction4、Intellectual5、Mining3、Social-1、Cooking-4、Medicine-2,
RocketPioneer19,rocket pioneer,rocket pioneer,rocketeer,成年,原版Core,,,Construction8、Plants-3、Intellectual5,
RugbyPlayer71,rugby player,rugby player,winger,成年,原版Core,,,Construction4、Mining3、Melee5,
RunawayDancer35,runaway dancer,runaway dancer,dancer,成年,原版Core,,,Shooting2、Social6、Artistic4,
SanitationCaptain29,sanitation captain,sanitation captain,janitor,成年,原版Core,,,Construction5、Crafting3,
Scout59,scout,scout,scout,成年,原版Core,,,Shooting2、Intellectual2、Social2,
Sculptor63,sculptor,sculptor,sculptor,成年,原版Core,,,Plants-4、Mining4、Artistic9,
SelflessHunter61,selfless hunter,selfless hunter,hunter,成年,原版Core,,,Shooting5、Social6,
SerialMurderer47,serial murderer,serial murderer,murderer,成年,原版Core,,,Shooting4、Melee4、Artistic4,
ShadowMarine63,shadow marine,shadow marine,marine,成年,原版Core,,,Intellectual4、Shooting4、Melee2、Medicine3、Animals3,
ShamanOfShadows47,shaman of shadows,shaman of shadows,shaman,成年,原版Core,,,Construction-2、Plants2、Intellectual2、Social6、Medicine4,
Sheriff52,sheriff,sheriff,sheriff,成年,原版Core,,,Shooting4、Melee4、Social4,
ShockTrooper15,shock trooper,shock trooper,shocktroop,成年,原版Core,,,Shooting7、Melee5、Medicine2,
SicklyLawyer49,sickly lawyer,sickly lawyer,lawyer,成年,原版Core,,,Social8,
Sightseer70,sightseer,sightseer,sightseer,成年,原版Core,,,Plants2、Shooting2、Melee2、Medicine2、Artistic2、Animals2,
Slaughterer58,slaughterer,slaughterer,slaughterer,成年,原版Core,,,Animals5、Shooting3,
SlaveChemist84,slave chemist,slave chemist,chemist,成年,原版Core,,,Construction-1、Intellectual4、Mining-2、Melee-1、Medicine5,
Smuggler23,smuggler,smuggler,smuggler,成年,原版Core,,,Intellectual-2、Shooting2、Melee2、Social5、Medicine2,
SoftwareDeveloper84,software developer,software developer,developer,成年,原版Core,,,Plants-3、Intellectual7、Social-3、Artistic3、Crafting5,
SoleSurvivor85,sole survivor,sole survivor,survivor,成年,原版Core,,,Shooting4、Melee5、Social-3,
SpaceBartender0,space bartender,space bartender,bartender,成年,原版Core,,,Plants4、Social4、Cooking5、Crafting2,
SpaceExplorer53,space explorer,space explorer,explorer,成年,原版Core,,,Construction3、Plants3、Mining3、Shooting4、Social4,
SpaceHumanitarian9,space humanitarian,space humanitarian,activist,成年,原版Core,,,Plants2、Shooting-2、Cooking4、Medicine2,
SpaceHunter79,space hunter,space hunter,huntsman,成年,原版Core,,,Shooting5、Melee1、Cooking1、Medicine2、Crafting3,
SpaceMarine16,space marine,space marine,marine,成年,原版Core,,,Melee5、Shooting7,
SpaceMarine19,space marine,space marine,marine,成年,原版Core,,,Shooting6、Melee4、Artistic-3、Crafting-2,
SpaceMarine5,space marine,space marine,marine,成年,原版Core,,,Shooting8、Melee6,
SpaceMarine51,space marine,space marine,marine,成年,原版Core,,,Shooting6、Melee5、Medicine2,
SpaceMarine9,space marine,space marine,marine,成年,原版Core,,,Shooting6、Melee5、Social-2,
SpaceMarine94,space marine,space marine,marine,成年,原版Core,,,Shooting7、Melee5,
SpaceMarineMedic10,space marine medic,space marine medic,medic,成年,原版Core,,,Shooting6、Melee2、Medicine6,
SpaceMerchant97,space merchant,space merchant,merchant,成年,原版Core,,,Construction4、Shooting2、Social5、Crafting2,
SpaceNavyDoctor72,space navy doctor,space navy doctor,doctor,成年,原版Core,,,Construction-2、Plants-2、Mining-2、Shooting3、Melee1、Social2、Medicine5、Artistic-1,
SpaceNavyTech37,space navy tech,space navy tech,navy tech,成年,原版Core,,,Intellectual8、Shooting4、Melee2、Crafting3,
SpacePirate55,space pirate,space pirate,pirate,成年,原版Core,,,Melee4、Shooting4,
SpaceRaider71,space raider,space raider,Pirate,成年,原版Core,,,Shooting8、Melee3、Social5,
SpaceResearcher25,space researcher,space researcher,researcher,成年,原版Core,,,Plants2、Intellectual6、Mining-1、Crafting3,
SpaceStationCook63,space station cook,space station cook,cook,成年,原版Core,,,Melee4、Cooking6,
SpaceTactician28,space tactician,space tactician,tactician,成年,原版Core,,,Shooting4、Intellectual4,
SpaceTechnician29,space technician,space technician,technician,成年,原版Core,,,Construction5、Intellectual1、Mining2、Social1,
SpaceTrafficker68,space trafficker,space trafficker,trafficker,成年,原版Core,,,Shooting5、Melee5、Social5、Medicine-2,
SpaceshipChef41,spaceship chef,spaceship chef,chef,成年,原版Core,,,Cooking7、Medicine5,
SpaceshipSalesman34,spaceship salesman,spaceship salesman,salesman,成年,原版Core,,,Construction2、Plants1、Intellectual2、Shooting2、Social8、Cooking-1、Medicine-1、Artistic-2、Crafting-1,
SpecialForces13,special forces,special forces,specialist,成年,原版Core,,,Shooting7、Melee6、Social2,
Spiceminer81,spiceminer,spiceminer,spiceminer,成年,原版Core,,,Construction2、Plants-2、Mining8、Social2、Medicine-2,
Spy58,spy,spy,spy,成年,原版Core,,,Shooting2、Melee2、Social7,
StalwartFarmer21,stalwart farmer,stalwart farmer,farmer,成年,原版Core,,,Construction3、Plants3、Intellectual-2、Mining2、Shooting5、Melee2,
StalwartFarmer90,stalwart farmer,stalwart farmer,farmer,成年,原版Core,,,Construction4、Shooting4、Melee2、Crafting2,
StarKnight5,star knight,star knight,knight,成年,原版Core,,,Shooting2、Melee8、Social3,
StarfighterPilot79,starfighter pilot,starfighter pilot,pilot,成年,原版Core,,,Intellectual4、Mining-3、Shooting7、Melee3、Artistic-3、Animals-3,
StarshipDoctor37,starship doctor,starship doctor,doctor,成年,原版Core,,,Intellectual5、Melee-2、Social-3、Medicine8,
StarshipJanitor33,starship janitor,starship janitor,janitor,成年,原版Core,,,Construction2、Crafting3,
StateEngineer60,state engineer,state engineer,engineer,成年,原版Core,,,Construction2、Intellectual4、Crafting5,
StationSecurity38,station security,station security,security,成年,原版Core,,,Shooting4、Melee3、Social3、Medicine3、Artistic-3,
StellarPirate10,stellar pirate,stellar pirate,pirate,成年,原版Core,,,Shooting4、Social4、Crafting4,
StewKeeper95,stew keeper,stew keeper,stewkeeper,成年,原版Core,,,Cooking6、Plants2,
StilettoAssassin34,stiletto assassin,stiletto assassin,assassin,成年,原版Core,,,Construction-3、Mining-3、Shooting6、Melee8、Medicine2,
Storyteller63,storyteller,storyteller,fabulist,成年,原版Core,,,Intellectual2、Social4、Artistic3、Crafting2,
Streamer52,Streamer,Streamer,Streamer,成年,原版Core,,,Social6、Animals5,
SuperSoldier95,super soldier,super soldier,soldier,成年,原版Core,,,Shooting8、Melee7、Crafting-3,
SystemLord77,system lord,system lord,lord,成年,原版Core,,,Shooting6、Melee2、Social6,
SystemsEngineer1,systems engineer,systems engineer,engineer,成年,原版Core,,,Construction5、Intellectual7、Crafting4,
Tamer79,tamer,tamer,tamer,成年,原版Core,,,Animals6、Social2,
Taster16,taster,taster,taster,成年,原版Core,,,Cooking7、Construction-4、Crafting-4,
Taxonomist0,taxonomist,taxonomist,taxonomist,成年,原版Core,,,Animals5、Plants5,
Teacher20,teacher,teacher,teacher,成年,原版Core,,,Intellectual3、Social4,
Technician9,technician,technician,techie,成年,原版Core,,,Construction2、Intellectual6、Medicine4,
TechnologyDoctor35,soldier-farmer,soldier-farmer,soldier,成年,原版Core,,,Plants4、Shooting4、Medicine2、Animals2,
TestSubject39,test subject,test subject,subject,成年,原版Core,,,Shooting4、Melee4,
TestSubject90,test subject,test subject,experiment,成年,原版Core,,,Shooting6、Melee8、Social-4,
TestSubject92,test subject,test subject,subject,成年,原版Core,,,Intellectual5、Melee5、Cooking1,
TheaterTechnician80,theater technician,theater technician,technician,成年,原版Core,,,Construction3、Social3、Artistic2、Crafting2,
Tinkerer86,tinkerer,tinkerer,tinkerer,成年,原版Core,,,Construction4、Intellectual4、Artistic2、Crafting4,
ToasterRepairman22,toaster repairman,toaster repairman,repairman,成年,原版Core,,,Construction7、Mining-3、Crafting6,
ToolMechanic77,tool mechanic,tool mechanic,mechanic,成年,原版Core,,,Construction5、Artistic2、Crafting8,
Torturer37,torturer,torturer,torturer,成年,原版Core,,,Melee6,
TournamentFighter28,tournament fighter,tournament fighter,fighter,成年,原版Core,,,Intellectual2、Melee8、Medicine1,
TravelingBard93,Traveling bard,Traveling bard,Musician,成年,原版Core,,,Social5、Artistic4、Crafting2,
TreasureHunter82,treasure hunter,treasure hunter,adventurer,成年,原版Core,,,Shooting5、Melee5、Social4、Cooking2、Medicine2,
TreehouseBuilder86,treehouse builder,treehouse builder,treehouse builder,成年,原版Core,,,Plants6、Melee3,
TribeMember57,tribe member,tribe member,tribal,成年,原版Core,,,,
Undertaker93,undertaker,undertaker,undertaker,成年,原版Core,,,Intellectual3、Social6、Medicine2,
UnethicalDoctor29,unethical doctor,unethical doctor,doctor,成年,原版Core,,,Intellectual6、Medicine6,
UnstableButcher31,unstable butcher,unstable butcher,butcher,成年,原版Core,,,Construction4、Intellectual-4、Mining3、Melee6、Social2、Medicine-3,
UprightDiplomat49,upright diplomat,upright diplomat,diplomat,成年,原版Core,,,Construction-3、Shooting4、Social8、Crafting-3,
UrbworldDrone32,urbworld drone,urbworld drone,drone,成年,原版Core,,,Construction5、Mining4、Social-2,
UrbworldEnforcer11,urbworld enforcer,urbworld enforcer,enforcer,成年,原版Core,,,Shooting7、Melee4、Social3、Medicine2,
UrbworldEntrepreneur14,urbworld entrepreneur,urbworld entrepreneur,entrepreneur,成年,原版Core,,,Social6、Intellectual3,
UrbworldPimp93,urbworld pimp,urbworld pimp,pimp,成年,原版Core,,,Melee6、Social4、Medicine5,
UrbworldPolitican92,urbworld politican,urbworld politican,politician,成年,原版Core,,,Social8,
UrbworldRebel56,urbworld rebel,urbworld rebel,rebel,成年,原版Core,,,Melee3、Construction3、Mining2,
UrbworldSergeant50,urbworld sergeant,urbworld sergeant,sergeant,成年,原版Core,,,Shooting4、Melee2、Social3,
UrbworldSexSlave25,urbworld sex slave,urbworld sex slave,sex slave,成年,原版Core,,,Social6、Cooking2、Artistic-2,
VRDesigner87,VR designer,VR designer,game dev,成年,原版Core,,,Construction3、Plants4、Artistic5,
Vagabond73,vagabond,vagabond,vagabond,成年,原版Core,,,Construction4、Shooting3、Cooking-2、Crafting4、Animals4,
VengefulExplorer54,vengeful explorer,vengeful explorer,explorer,成年,原版Core,,,Construction4、Shooting6、Melee5,
VengefulHunter32,vengeful hunter,vengeful hunter,vengeful,成年,原版Core,,,Shooting4、Melee6,
VengefulNomad67,vengeful nomad,vengeful nomad,nomad,成年,原版Core,,,Construction5、Mining1、Crafting7,
VersatileWorker13,versatile worker,versatile worker,worker,成年,原版Core,,,Construction1、Plants4、Melee5、Medicine-1、Crafting2,
Veterinarian99,veterinarian,veterinarian,vet,成年,原版Core,,,Animals4、Medicine4、Cooking-4,
VideoProducer83,video producer,video producer,producer,成年,原版Core,,,Intellectual2、Artistic7、Crafting4,
Villain89,villain,villain,villain,成年,原版Core,,,Intellectual2、Mining-2、Shooting4、Social6,
VinhoKing98,vinho king,vinho king,booze king,成年,原版Core,,,Intellectual3、Shooting3、Social7,
VoidRaider74,void raider,void raider,Pirate,成年,原版Core,,,Shooting6、Melee6,
VoidspaceRaider94,voidspace raider,voidspace raider,Pirate,成年,原版Core,,,Mining2、Shooting4、Melee2、Medicine2、Crafting3,
WanderingCrafter42,wandering crafter,wandering crafter,crafter,成年,原版Core,,,Intellectual2、Shooting3、Crafting8,
WanderingHealer52,wandering healer,wandering healer,healer,成年,原版Core,,,Construction-1、Mining-1、Social3、Cooking2、Medicine7,
WarChief97,war chief,war chief,chief,成年,原版Core,,,Shooting7、Melee5、Social2,
Warlordess56,warlordess,warlordess,warlordess,成年,原版Core,,,Mining-2、Melee-2、Social6、Cooking6、Medicine5、Artistic3,
Warrior73,warrior,warrior,warrior,成年,原版Core,,,Shooting5、Melee4、Cooking2、Medicine3,
Warrior94,warrior,warrior,warrior,成年,原版Core,,,Melee4、Shooting4,
WarshipCaptain67,warship captain,warship captain,captain,成年,原版Core,,,Construction3、Plants-3、Intellectual5、Shooting3、Melee2、Social5、Animals-3,
Weaver63,weaver,weaver,weaver,成年,原版Core,,,Crafting6、Plants2,
WhiteHatHacker82,white-hat hacker,white-hat hacker,hacker,成年,原版Core,,,Intellectual8、Social-2、Crafting2,
WildlifeRanger99,wildlife ranger,wildlife ranger,ranger,成年,原版Core,,,Shooting2、Medicine2、Animals8,
AbandonedChild23,abandoned child,abandoned child,abandoned,童年,原版Core,,,Melee3、Crafting3、Social-2,
AbandonedChild30,abandoned child,abandoned child,abandoned,童年,原版Core,,,Construction1、Shooting1、Melee1、Social1,
AbandonedOrphan61,abandoned orphan,abandoned orphan,orphan,童年,原版Core,,,Plants-3、Shooting2、Melee3、Social2,
Abductee43,abductee,abductee,abductee,童年,原版Core,,,Construction2、Melee2、Cooking2、Crafting2,
Abductee7,abductee,abductee,abductee,童年,原版Core,,,Construction2、Mining4、Melee4、Social-2,
AcademyStudent58,academy student,academy student,student,童年,原版Core,,,Social3、Crafting2,
AccursedChild88,accursed child,accursed child,cursed,童年,原版Core,,,Construction-1、Intellectual5、Medicine4,
AdventuringChild30,adventuring child,adventuring child,adventurer,童年,原版Core,,,Construction2、Crafting3,
AdventurousYouth70,adventurous youth,adventurous youth,adventurer,童年,原版Core,,,Melee2、Social2、Cooking2,
AmateurAstronomer77,amateur astronomer,amateur astronomer,astronomer,童年,原版Core,,,Intellectual6,
AmateurBotanist79,amateur botanist,amateur botanist,botanist,童年,原版Core,,,Plants4、Artistic2,
AmateurEngineer3,amateur engineer,amateur engineer,engineer,童年,原版Core,,,Construction2、Intellectual2、Mining1、Shooting1,
AngryStudent88,angry student,angry student,student,童年,原版Core,,,Intellectual4,
AnimalCaretaker20,animal caretaker,animal caretaker,caretaker,童年,原版Core,,,Plants2、Animals4,
AnimalLabTech39,animal lab tech,animal lab tech,lab tech,童年,原版Core,,,Intellectual1、Shooting-2、Medicine2、Animals3,
AntisocialChild83,antisocial child,antisocial child,antisocial,童年,原版Core,,,Intellectual3、Crafting2,
ApocalypseChild23,apocalypse child,apocalypse child,apocalypse,童年,原版Core,,,Shooting2、Melee3、Crafting2,
ApocalypseSurvivor23,apocalypse survivor,apocalypse survivor,survivor,童年,原版Core,,,Shooting4、Artistic-3、Intellectual-3,
ApprenticeOracle83,apprentice oracle,apprentice oracle,oracle,童年,原版Core,,,Intellectual2、Social3、Medicine2,
ApprenticeSmith37,apprentice smith,apprentice smith,apprentice,童年,原版Core,,,Melee2、Crafting5,
ArtfulDodger78,artful dodger,artful dodger,dodger,童年,原版Core,,,Shooting1、Melee2、Social3,
ArtisanFarmer23,artisan farmer,artisan farmer,farmer,童年,原版Core,,,Plants7、Intellectual-2、Cooking2,
ArtisticWeirdo56,artistic weirdo,artistic weirdo,weirdo,童年,原版Core,,,Cooking1、Artistic3、Crafting2,
AspergersRebel13,aspergers rebel,aspergers rebel,rebel,童年,原版Core,,,Intellectual5、Shooting2、Social-3,
AspiringEngineer58,aspiring engineer,aspiring engineer,tinkerer,童年,原版Core,,,Construction2、Intellectual4、Mining2、Social-2、Crafting2,
AspiringPhysicist47,aspiring physicist,aspiring physicist,student,童年,原版Core,,,Construction1、Intellectual3、Crafting2,
AspiringPopIdol28,aspiring pop idol,aspiring pop idol,pop idol,童年,原版Core,,,Shooting-4、Melee-4、Social4、Artistic4,
Athlete47,athlete,athlete,athlete,童年,原版Core,,,Intellectual3、Melee4,
AwkwardNerd48,awkward nerd,awkward nerd,nerd,童年,原版Core,,,Intellectual5、Melee-2、Social-2、Crafting4,
BlackjackPlayer76,blackjack player,blackjack player,gambler,童年,原版Core,,,Intellectual5、Social4,
BlacksmithsSon73,blacksmith's son,blacksmith's son,blacksmith,童年,原版Core,,,Construction3、Shooting3、Artistic-3、Crafting3,
BlessedChild46,blessed child,blessed child,blessed,童年,原版Core,,,Social3、Medicine2、Artistic1,
BodyguardTrainee54,bodyguard trainee,bodyguard trainee,bodyguard,童年,原版Core,,,Plants2、Shooting3、Melee2、Medicine2,
BoneCollector14,bone collector,bone collector,pupil,童年,原版Core,,,Plants2、Mining2、Shooting-3、Melee-3、Social-3、Medicine2、Artistic2、Crafting2,
Bookworm19,bookworm,bookworm,bookworm,童年,原版Core,,,Intellectual6、Artistic2、Social-3,
Bookworm3,bookworm,bookworm,bookworm,童年,原版Core,,,Plants2、Intellectual2、Social-2、Medicine2,
BoyScout42,boy scout,boy scout,scout,童年,原版Core,,,Plants2、Shooting2、Medicine2,
BoySoldier14,boy soldier,boy soldier,soldier,童年,原版Core,,,Shooting4、Melee2,
BrothelGofer84,brothel gofer,brothel gofer,gofer,童年,原版Core,,,Social2、Cooking2、Crafting2,
BrutalThief59,brutal thief,brutal thief,thief,童年,原版Core,,,Plants-2、Shooting2、Melee4、Social-2,
BuddingArtist44,budding artist,budding artist,artist,童年,原版Core,,,Artistic5,
Bully70,bully,bully,bully,童年,原版Core,,,Melee2、Shooting3,
BunkerKid41,bunker kid,bunker kid,bunker kid,童年,原版Core,,,Shooting4、Melee4、Social-2,
Cadet96,cadet,cadet,cadet,童年,原版Core,,,Construction3、Intellectual3、Crafting3,
CaravanChild53,caravan child,caravan child,child,童年,原版Core,,,Social2、Artistic2,
CaravanTraveler6,caravan traveler,caravan traveler,traveler,童年,原版Core,,,Plants-3、Shooting1、Social2、Animals3,
CatHerder4,cat herder,cat herder,herder,童年,原版Core,,,Social2、Cooking3,
CaveChild17,cave child,cave child,cave kid,童年,原版Core,,,Plants2、Mining2、Shooting-2、Melee-2、Cooking2、Crafting2,
CaveChild30,cave child,cave child,cave child,童年,原版Core,,,Mining3、Construction3,
CaveworldTender26,caveworld tender,caveworld tender,cave kid,童年,原版Core,,,Plants4、Mining2、Shooting-3,
CaveworldTunneler48,caveworld tunneler,caveworld tunneler,tunneler,童年,原版Core,,,Construction1、Mining6、Shooting-2,
ChessMaster67,chess master,chess master,chesshead,童年,原版Core,,,Intellectual2、Social4,
Child27,child,child,child,童年,原版Core,,,,
ChildKnave69,child-knave,child-knave,knave,童年,原版Core,,,Shooting-3、Melee4、Social3,
ChildOfDrifters18,child of drifters,child of drifters,drifter,童年,原版Core,,,Shooting4、Melee-2、Social-3、Crafting6,
ChildOfGlass61,child of glass,child of glass,survivor,童年,原版Core,,,Plants3、Shooting4、Artistic-3,
ChildProdigy76,child prodigy,child prodigy,prodigy,童年,原版Core,,,Intellectual6、Mining-3、Cooking-3、Medicine6,
ChildResearcher32,child researcher,child researcher,researcher,童年,原版Core,,,Intellectual7、Shooting-2、Melee-2,
ChildScientist30,child scientist,child scientist,scientist,童年,原版Core,,,Intellectual4、Social-3、Cooking-2、Medicine3,
ChildSlave58,child slave,child slave,slave,童年,原版Core,,,Construction2、Mining3、Social-2,
ChildSpy47,child spy,child spy,spy,童年,原版Core,,,Social4、Intellectual-2,
ChildSpy84,child spy,child spy,spy,童年,原版Core,,,Shooting3、Social3、Medicine1,
ChildStar74,child star,child star,star,童年,原版Core,,,Social3、Artistic3、Intellectual-2,
ChildTribal,child,child,child,童年,原版Core,,,,
CircusPerformer37,circus performer,circus performer,performer,童年,原版Core,,,Social3、Artistic2,
ClassClown96,class clown,class clown,clowny kid,童年,原版Core,,,Social-3、Artistic4,
CloneFarmed21,clone-farmed,clone-farmed,disposable,童年,原版Core,,,Intellectual4、Shooting-3、Artistic3,
ColiseumCleaner54,coliseum cleaner,coliseum cleaner,cleaner,童年,原版Core,,,Intellectual4、Social2、Crafting1,
Colonist22,colonist,colonist,colonist,童年,原版Core,,,Plants4、Cooking3、Crafting2,
ColonyChild59,colony child,colony child,colonist,童年,原版Core,,,,
ColonyKid47,colony kid,colony kid,colony kid,童年,原版Core,,,Intellectual2、Social-2、Medicine3,
ComaChild93,coma child,coma child,coma child,童年,原版Core,,,Social4、Construction-2、Mining-2,
CommonerHeir5,commoner heir,commoner heir,heir,童年,原版Core,,,Intellectual1、Melee2、Crafting3,
Computer80,computer,computer,computer,童年,原版Core,,,Construction-2、Plants-3、Intellectual4、Artistic1、Crafting3,
ComputerGeek62,computer geek,computer geek,geek,童年,原版Core,,,Construction3、Intellectual3、Shooting-2、Animals2,
ConstructionGrunt84,construction grunt,construction grunt,builder,童年,原版Core,,,Construction4、Social1、Crafting2,
ConventChild16,convent child,convent child,illicit,童年,原版Core,,,Construction3、Plants3,
CoreDilettante33,core dilettante,core dilettante,dilettante,童年,原版Core,,,Intellectual2、Social2、Artistic2,
CoreworldStudent50,coreworld student,coreworld student,student,童年,原版Core,,,Construction2、Shooting-1、Artistic4、Crafting4,
CorpBredStudent54,corp-bred student,corp-bred student,student,童年,原版Core,,,Intellectual5、Social7、Medicine3、Crafting3,
CorpStudent95,corp student,corp student,student,童年,原版Core,,,Intellectual3、Social3、Medicine-2、Artistic-3,
CorporateSlave22,corporate slave,corporate slave,soldier,童年,原版Core,,,Plants-2、Shooting4、Social4、Animals-2,
CountryChild95,country child,country child,hick kid,童年,原版Core,,,Cooking2、Animals4,
CowFarmer39,cow farmer,cow farmer,farmer,童年,原版Core,,,Plants4、Animals3,
CrashBaby32,crash baby,crash baby,crashbaby,童年,原版Core,,,Social3、Intellectual2,
CrimeBossChild39,crime boss' child,crime boss' child,crime kid,童年,原版Core,,,Construction2、Shooting2、Melee2,
CultChild3,cult child,cult child,cult kid,童年,原版Core,,,Medicine-3、Artistic5,
